Configuration,Real Time,User Time,System Time
Serial,3m9.639s,3m9.613s,0m0.006s
1,3m8.051s,3m8.020s,0m0.012s
2,1m41.159s,3m22.096s,0m0.153s
3,1m5.897s,3m17.344s,0m0.248s
4,0m52.723s,3m30.382s,0m0.400s
5,0m42.339s,3m30.927s,0m0.596s
6,0m35.764s,3m33.646s,0m0.755s
7,0m30.688s,3m33.714s,0m0.827s
8,0m26.700s,3m32.335s,0m1.021s
9,0m23.474s,3m29.668s,0m1.327s
10,0m21.096s,3m29.218s,0m1.371s
11,0m19.240s,3m29.612s,0m1.651s
12,0m17.755s,3m30.826s,0m1.860s
13,0m16.269s,3m29.157s,0m1.912s
14,0m15.653s,3m36.171s,0m2.293s
15,0m14.328s,3m31.950s,0m2.469s
16,0m13.511s,3m33.026s,0m2.568s
17,0m13.703s,3m48.775s,0m3.539s
18,0m13.507s,3m58.676s,0m3.743s
19,0m13.435s,4m10.182s,0m4.236s
20,0m13.158s,4m17.885s,0m4.387s
21,0m12.877s,4m24.737s,0m4.829s
22,0m12.766s,4m34.857s,0m5.073s
23,0m12.603s,4m43.326s,0m5.526s
24,0m12.346s,4m49.466s,0m5.744s
25,0m12.202s,4m57.886s,0m6.196s
26,0m11.985s,5m4.015s,0m6.503s
27,0m11.844s,5m11.155s,0m7.394s
28,0m11.574s,5m15.457s,0m7.318s
29,0m11.465s,5m23.018s,0m7.937s
30,0m11.078s,5m22.487s,0m7.597s
31,0m10.885s,5m26.687s,0m8.477s
32,0m10.803s,5m30.763s,0m8.954s
